,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Photo #,Photo ID,Building Name,Latitude,Longitude,Side of Building,Time (24h),Observed Temp (C),Min Temp (C),Max Temp (C),Framed Properly?,Distance (m),Outdoor Temp,Sun Direction,Indoor / Outdoor,Floor
24,RCH1,Cuneo Hall,N 41°59'56.0985,W 87°39'26.47830,West,10/1/2024 14:27:00,36.8,20.5,65.4,Yes,10,18.8,West,Outdoor,Ground Level
25,RCH2,Cuneo Hall,N 41°59'53.388,W 87°39'27.4881,South,10/1/2024 14:29:00,40.7,17.5,40.7,Door,10,18.8,West,Outdoor,Ground Level
26,RCH3,Cuneo Hall,N 41°59'58.131,W 87°39'27.0531,East,10/1/2024 14:31:00,16.6,22.4,9.4,Door,10,18.8,West,Outdoor,Ground Level
27,RDH1,Dumbach Hall,N 42°0'0.9663,W 87°39'28.3234,South,10/1/2024 14:33:00,38.4,22.5,61.5,Door,10,18.8,West,Outdoor,Ground Level
28,RDH2,Dumbach Hall,N 42°0'1.6556,W 87°39'27.7632,East,10/1/2024 14:34:00,12.4,11.7,22.1,Door,10,18.8,West,Outdoor,Ground Level
29,RDH3,Dumbach Hall,N 42°0'2.4668,W 87°39'28.5547,North,10/1/2024 14:36:00,18.7,10.4,19.7,Yes,10,18.8,West,Outdoor,Ground Level
30,CH14,Cuneo Hall,N 41°59'58.2731,"W 87°39'26.08776""",North,10/3/2024 15:52:00,29.6,16,31.9,Door,10,20,West,Outdoor,Ground Level
31,CH16,Cuneo Hall,N 41°59'56.33484,"W 87°39'26.08776""",West,10/3/2024 15:56:00,20.9,14.9,40.3,Yes,10,20,West,Outdoor,Ground Level
32,CH17,Cuneo Hall,N 41°59'56.33485,"W 87°39'26.08776""",West,10/3/2024 15:57:00,36.8,30.1,83.4,Open Window,10,20,West,Outdoor,Ground Level
33,CH18,Cuneo Hall,N 41°59'56.33486,"W 87°39'26.08776""",West,10/3/2024 15:57:00,33.1,23.4,51.6,Yes,10,20,West,Outdoor,Ground Level
34,CH20,Cuneo Hall,N 41°59'56.80690,"W 87°39'27.64810""",West,10/3/2024 15:57:00,41.7,36,69,Yes,10,20,West,Outdoor,Ground Level
35,CH19,Cuneo Hall,N 41°59'56.11330,"W 87°39'26.62140""",West,10/3/2024 15:58:00,19.4,18.2,30.5,Yes,10,20,West,Outdoor,Ground Level
36,CH15,Cuneo Hall,"N 41°59'55.56516""","W 87°39'25.40016""",South,10/3/2024 16:00:00,36.3,19.8,46,Door,10,20,West,Outdoor,Ground Level
